Direccion;Partido;Tipo;Latitud;Longitud
Lynch y Gowland/Alzaga;Lomas;Bacheo Hormigon;-34.740081812806324;-58.357062959208506
Lynch y Cordoba/Aguilar;Lomas;Bacheo Hormigon;-34.7445484;-58.3648849
Lynch y Groussac;Lomas;Bacheo CA;-34.7400956;-58.356234
Lynch y Brasil/Martinto;Lomas;Bacheo Hormigon;-34.7398949;-58.3499146
Lynch y Caaguazu/Pintos;Lomas;Bacheo CA;-34.739670142871624;-58.34758631922104
Lynch y 12 de Agosto;Lomas;Bacheo CA;-34.7394133;-58.3471261
Lynch y Vespucio/Alvar Nuñez ;Lanus;Bacheo CA;-34.74111;-58.35971
Lynch y Albarracin;Lanus;Bacheo CA;-34.7427944;-58.3614921
Lynch y Sitio de Montevideo;Lanus;Bacheo CA;-34.7378692;-58.3455233
Lynch entre Purita;Lanus;Bacheo CA;-34.73985093758638;-58.35318055035663
Lynch y Cabrero;Lanus;Bacheo CA;-34.739866501770955;-58.35200625379422
Lynch y Caaguazu;Lanus;TJ;-34.7398154;-58.3475337
Lynch y Alvar Nuñez;Lanus;TJ;-34.7415745;-58.359115
Lynch y Beron de Astrada;Lanus;TJ;-34.74000087346015;-58.35601781872337
Lynch y Lanús;Lanus;TJ;-34.7400198;-58.3550254
Lynch y Muiño;Lanus;TJ;-34.7399898;-58.3538586
Lynch y Gowland;Lomas;Mural;-34.7404893;-58.3570235
12 de Agosto y Caaguazu;Lomas;Mural;-34.7482173;-58.3443676
Lynch y Cordoba;Lanus;Arbolado;-34.7445484;-58.3648849
Lynch y Mosconi;Lanus;Arbolado;-34.7440757;-58.3639145
Lynch y Brasil;Lanus;Arbolado;-34.7398949;-58.3499146
Lynch y Brasil;Lanus;Arbol Riesgo Caida;-34.7398949;-58.3499146
Lynch 3085;Lomas;Luminarias;-34.7403;-58.3564
Lynch 3095;Lomas;Luminarias;-34.7431113;-58.3624793
Lynch 3215;Lomas;Luminarias;-34.7401244;-58.3546537
Coronel Lynch esquina M Huapi;Lomas;Pavi Frio;-34.7450593;-58.3658831
Cnel. Lynch 2319;Lomas;Pavi Frio;-34.7449194;-58.3656635
Coronel Lynch & Córdoba;Lomas;Pavi Frio;-34.7445484;-58.3648849
Coronel Lynch & Cordoba;Lomas;Rampa;-34.7445484;-58.3648849
Cnel. Lynch 2408;Lomas;Rampa;-34.7400209;-58.3550671
Coronel Lynch & Aguapey;Lomas;Rampa;-34.7438483;-58.3635409
Coronel lynch y Spinoza;Lomas;Rampa;-34.7436151;-58.3629567
Coronel lynch y Savio;Lomas;Piso;-34.7431043;-58.3620388
Coronel Lynch y Schopenahuer;Lomas;Cordon;-34.7426071;-58.3611041
Cnel. Lynch 2973;Lomas;Cordon;-34.7423198;-58.3602884
Cnel. Lynch 3053;Lomas;Pavi Caliente;-34.741715;-58.3590826
Coronel lynch y Lanus;Lomas;Boca de Tormenta;-34.7400306;-58.3550259
Cnel. Lynch 3005;Lomas;Pavi Caliente;-34.7415741;-58.3587509
Cnel. Lynch 3073;Lomas;Cordon;-34.741461;-58.3585735
Cnel. Lynch 3111;Lomas;Rampa;-34.7433339;-58.3628997
Cnel. Lynch y Groussac;Lomas;Rampa;-34.7401105;-58.3563174
